experiment,model,learning_rate,batch,width,alpha,val_rmse,val_mae,epochs_run,best_epoch,stopped_early,train_seconds
lr0p0003_batch128,CausalCNN,0.0003,128.0,16.0,,160.12713815609897,106.15916643063686,18,14.0,True,9.581459124980029
lr0p0003_batch128,LSTM,0.0003,128.0,16.0,,163.97277082906746,110.1256629019965,9,5.0,True,6.219647416030057
lr0p0003_batch256,CausalCNN,0.0003,256.0,16.0,,159.86948227885907,105.80518584347998,32,28.0,True,15.19297870801529
lr0p0003_batch256,LSTM,0.0003,256.0,16.0,,164.047527506481,110.12957368696144,15,11.0,True,7.206116207991727
lr0p0003_batch64,CausalCNN,0.0003,64.0,16.0,,159.62583273505172,105.76569206802418,23,19.0,True,13.27962916699471
lr0p0003_batch64,LSTM,0.0003,64.0,16.0,,163.60704584660718,109.33908079499871,9,5.0,True,10.014006208977662
lr0p001_batch128,CausalCNN,0.001,128.0,16.0,,160.086951178327,106.11151574066803,11,7.0,True,6.302261457953136
lr0p001_batch128,LSTM,0.001,128.0,16.0,,160.25927674339334,106.5407087876962,19,15.0,True,11.061832083039917
lr0p001_batch256,CausalCNN,0.001,256.0,16.0,,151.23974800597725,102.23390112384516,31,27.0,True,13.696351166989189
lr0p001_batch256,LSTM,0.001,256.0,16.0,,163.4898366286179,109.6151095269857,9,5.0,True,4.002034291974269
lr0p001_batch64,CausalCNN,0.001,64.0,16.0,,160.72812783473012,107.19838876644006,6,2.0,True,4.425389374955557
lr0p001_batch64,LSTM,0.001,64.0,16.0,,160.48155922580594,106.4072101778119,13,9.0,True,11.699071249982808
lr0p003_batch128,CausalCNN,0.003,128.0,16.0,,150.08121977428561,100.69950582796486,16,12.0,True,8.411151209031232
lr0p003_batch128,LSTM,0.003,128.0,16.0,,151.87925054018348,102.17255387151047,22,18.0,True,12.02303970803041
lr0p003_batch256,CausalCNN,0.003,256.0,16.0,,150.476675012449,103.31565611349596,18,14.0,True,8.581836417026352
lr0p003_batch256,LSTM,0.003,256.0,16.0,,162.416922345142,109.09683540307196,11,7.0,True,4.713446417008527
lr0p003_batch64,CausalCNN,0.003,64.0,16.0,,157.23668454627605,106.73264992661173,8,4.0,True,5.398414249997586
lr0p003_batch64,LSTM,0.003,64.0,16.0,,151.27693435462328,101.5061253140903,13,9.0,True,11.533529624983203
round3_alpha_only,CausalCNN,0.001,,8.0,,160.2808043095038,106.1642565577027,16,12.0,True,7.036760999995749
round3_alpha_only,LSTM,0.001,,16.0,,160.25927674339334,106.5407087876962,19,15.0,True,11.122514292015694
round3_alpha_only,RidgeAR,,,,10.0,152.39278347095748,106.06624064663019,0,,,0.07710841699736193
round3_cnn_width_only,CausalCNN,0.001,,16.0,,160.086951178327,106.11151574066803,11,7.0,True,6.340100125002209
round3_cnn_width_only,LSTM,0.001,,16.0,,160.25927674339334,106.5407087876962,19,15.0,True,10.45469545800006
round3_cnn_width_only,RidgeAR,,,,1.0,153.13440305737217,106.78512600331089,0,,,0.02904991601826623
round3_lstm_width_only,CausalCNN,0.001,,8.0,,160.2808043095038,106.1642565577027,16,12.0,True,7.073103707982227
round3_lstm_width_only,LSTM,0.001,,32.0,,162.04230184252413,107.61917458876601,9,5.0,True,8.265492374950554
round3_lstm_width_only,RidgeAR,,,,1.0,153.13440305737217,106.78512600331089,0,,,0.04807404102757573
