square,total_internet_activity,observed_intervals,coverage
5161,12682672.860867979,8784,1.0
5059,11091868.876526536,8784,1.0
5259,10436792.131817942,8784,1.0
5061,9511351.257577104,8784,1.0
5258,8673197.7938598,8784,1.0
5159,8652154.568200514,8784,1.0
6064,8606663.04374646,8784,1.0
4855,8446619.064305365,8784,1.0
4856,8188750.417558247,8784,1.0
5262,8131038.148635911,8784,1.0
5857,8081688.204877907,8784,1.0
6058,7888913.834128894,8784,1.0
4956,7833599.8161044065,8784,1.0
4459,7723749.964331178,8784,1.0
5256,7595543.479829717,8784,1.0
5162,7418408.23431907,8784,1.0
4857,7203931.004310708,8784,1.0
4755,7159544.313152678,8784,1.0
5567,7058026.001801796,8784,1.0
5758,7016018.788861607,8784,1.0
6169,6969862.995792806,8784,1.0
5263,6909599.193461747,8784,1.0
5163,6893983.0677972445,8784,1.0
4955,6860571.750101013,8784,1.0
4961,6849274.7215241995,8784,1.0
5957,6810627.743342543,8784,1.0
6065,6655551.548236901,8784,1.0
5261,6512206.848682466,8784,1.0
5255,6474813.351302256,8784,1.0
6165,6327096.185466026,8784,1.0
5156,6326759.952931775,8784,1.0
4457,6277469.601187949,8784,1.0
6260,6276052.997594587,8784,1.0
5965,6140489.9114155555,8784,1.0
4761,6117329.365352799,8784,1.0
4754,6052865.682948789,8784,1.0
4654,6020334.71080527,8784,1.0
5361,6015610.751755179,8784,1.0
5967,5941257.884710241,8784,1.0
4959,5905381.3436205825,8784,1.0
5959,5869038.687904719,8784,1.0
4957,5808616.655192471,8784,1.0
4854,5808219.390300394,8784,1.0
5158,5746471.17557859,8784,1.0
5854,5651349.303802093,8784,1.0
4655,5641856.552394816,8784,1.0
4456,5635231.63451786,8784,1.0
5954,5624976.5234605735,8784,1.0
6067,5606114.502033131,8784,1.0
5467,5582036.838197282,8784,1.0
4861,5572470.822541097,8784,1.0
6164,5551456.968618604,8784,1.0
5964,5461193.072949006,8784,1.0
5955,5422713.274417684,8784,1.0
4762,5370955.018406276,8784,1.0
5359,5364460.5607243655,8784,1.0
4653,5353697.873013599,8784,1.0
4462,5345356.270952889,8784,1.0
5367,5301672.817776227,8784,1.0
5458,5298173.949135217,8784,1.0
5856,5283126.182210427,8784,1.0
5160,5273357.349909651,8784,1.0
6066,5272849.9762383625,8784,1.0
4758,5272677.650101332,8784,1.0
5155,5264065.554692546,8784,1.0
5360,5263656.452051923,8784,1.0
4559,5241505.672423486,8784,1.0
6068,5224447.596120021,8784,1.0
5963,5203152.733735316,8784,1.0
4958,5197073.999901521,8784,1.0
6063,5194349.577962812,8784,1.0
4756,5169954.307054988,8784,1.0
4759,5169350.509260502,8784,1.0
4968,5167331.116795544,8784,1.0
5068,5148592.379320543,8784,1.0
4460,5125263.3109043855,8784,1.0
5056,5097144.089752645,8784,1.0
5968,5074799.931567596,8784,1.0
5062,5068482.892539384,8784,1.0
5157,5049242.0552242985,8784,1.0
5461,5045378.196672647,8784,1.0
5349,5022491.908370572,8784,1.0
4954,5007301.681213269,8784,1.0
5063,4977614.171849681,8784,1.0
6059,4956077.006582568,8784,1.0
4962,4953706.263190029,8784,1.0
4760,4938717.927141636,8784,1.0
5260,4937153.064819584,8784,1.0
4948,4921710.398155353,8784,1.0
6268,4892222.697926118,8784,1.0
4757,4865586.865492087,8784,1.0
5060,4830094.587664864,8784,1.0
4648,4813672.640382828,8784,1.0
4960,4774532.700606374,8784,1.0
5958,4736039.786316583,8784,1.0
5568,4733339.213234009,8784,1.0
5358,4713627.662648208,8784,1.0
5154,4706999.104570367,8784,1.0
5257,4679712.030289611,8784,1.0
6269,4678337.808312962,8784,1.0
5858,4666079.092048991,8784,1.0
5254,4646315.241996953,8784,1.0
5765,4616020.243760827,8784,1.0
4860,4610600.179460283,8784,1.0
4656,4585369.548511987,8784,1.0
4256,4577738.319196726,8784,1.0
5252,4558749.149099292,8784,1.0
5055,4554477.683920156,8784,1.0
6264,4540540.424890756,8784,1.0
4556,4537459.802958952,8784,1.0
4660,4529549.504249152,8784,1.0
5861,4492129.741223782,8784,1.0
4659,4469170.534509135,8784,1.0
4554,4468259.992964198,8784,1.0
5248,4464742.718711053,8784,1.0
5966,4456824.384190793,8784,1.0
5148,4456342.084636787,8784,1.0
5658,4447877.1036866065,8784,1.0
6069,4447032.729436386,8784,1.0
4853,4439562.915423879,8784,1.0
5862,4437402.349229648,8784,1.0
5460,4396181.162329306,8784,1.0
4858,4392254.67673798,8784,1.0
5766,4384161.844684205,8784,1.0
4458,4338027.264190378,8784,1.0
5855,4336915.616459948,8784,1.0
4555,4325125.594191377,8784,1.0
5956,4322383.418375679,8784,1.0
6158,4321277.078421103,8784,1.0
5757,4291056.223346077,8784,1.0
5147,4273723.733743833,8784,1.0
5659,4261941.65199475,8784,1.0
5072,4244923.653702042,8784,1.0
4548,4240376.333078437,8784,1.0
5566,4209139.111365142,8784,1.0
5151,4204535.848698349,8784,1.0
4953,4194202.0863008564,8784,1.0
5752,4181638.0439829133,8784,1.0
4553,4178943.0128817763,8784,1.0
4257,4175293.5291705937,8784,1.0
4560,4168490.9232829665,8784,1.0
4859,4141771.793201354,8784,1.0
6674,4114889.55128728,8784,1.0
5667,4113277.3466976993,8784,1.0
