date,input_name,input_bytes,md5,raw_rows,chunks,timezone,intervals,squares,missing_internet_fields,missing_square_time_bins,observed_square_time_bins,total_internet_activity,sample_rows_for_memory_comparison,sample_dataframe_bytes_before,sample_dataframe_bytes_after,sample_dataframe_reduction_percent,memory_comparison,largest_projected_chunk_bytes,accumulator_bytes,whole_process_peak_rss_bytes,wall_seconds_including_checksum_and_sample_benchmark,platform,machine,python,numpy,pandas
2013-11-01,sms-call-internet-mi-2013-11-01.txt,322874887,658c49f8e3c7910bd3bb2bafbf62cdce,4842625,49,Europe/Rome,144,10000,2488626,54,1439946,82479246.58970454,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,387891200,2.5639757090002604,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-02,sms-call-internet-mi-2013-11-02.txt,315164060,d90f3512c4f278f78d875fb49fcb7191,4745086,48,Europe/Rome,144,10000,2388089,98,1439902,80991016.64896299,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,136183808,3.518426417000228,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-03,sms-call-internet-mi-2013-11-03.txt,313058344,71bde0827182bb45ce6f4c708fe6b42e,4722579,48,Europe/Rome,144,10000,2419455,145,1439855,83509155.16403005,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,408616960,2.391326167000443,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-04,sms-call-internet-mi-2013-11-04.txt,361097689,151f85ab92fc0fea449ff19cb7e50a0a,5639488,57,Europe/Rome,144,10000,2825506,127,1439873,108106879.17011385,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,383598592,2.7323625829994853,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-05,sms-call-internet-mi-2013-11-05.txt,372894401,f8f22dfdce95bf66d6fa9f699afbdf5e,5874140,59,Europe/Rome,144,10000,2892580,113,1439887,111124132.21983068,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,135987200,4.094605624999531,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-06,sms-call-internet-mi-2013-11-06.txt,374625924,1c4e7de6a559357560927796b5c63c06,5912097,60,Europe/Rome,144,10000,2898786,123,1439877,111009151.11003076,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,399622144,2.685322500001348,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-07,sms-call-internet-mi-2013-11-07.txt,373036285,dc0fac4c7fccb4c3328a77f450230c5c,5886883,59,Europe/Rome,144,10000,2899176,127,1439873,110396471.39423904,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,400097280,2.6384890000008454,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-08,sms-call-internet-mi-2013-11-08.txt,376123111,e2c02fde5673256145b29eb73321ca12,5918856,60,Europe/Rome,144,10000,2957866,117,1439883,110715219.77369304,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,398966784,2.6969974580006237,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-09,sms-call-internet-mi-2013-11-09.txt,332440742,ceee41ef748750475d57f16770b0abe0,5052416,51,Europe/Rome,144,10000,2515947,120,1439880,97376864.57235344,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,412450816,2.4116584999992483,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
2013-11-10,sms-call-internet-mi-2013-11-10.txt,314441422,4b7a506876b06565272af93048aa54b8,4731582,48,Europe/Rome,144,10000,2418119,125,1439875,91693061.96491398,100000,6400132,2000132,68.748582060495,Same rows: all 8 inferred columns versus 3 projected typed columns; not process RSS,2000132,17280000,403521536,2.2402860000001965,macOS-27.0-arm64-arm-64bit,arm64,3.12.14,2.3.5,2.2.3
