experiment,model,area,seed,val_rmse,val_mae,train_seconds,epochs_run,best_epoch,config,rationale
initial,RidgeAR,5161,42,159.07376794828673,112.89517221303952,0.020620917028281838,0,,"{""lookback"": 36, ""alpha"": 1.0}",Initial compact models with six hours of history. A regularized linear autoregression tests whether local linear dependence suffices; LSTM tests gated nonlinear memory; causal dilated CNN tests convolutional sequence modeling. Daily history will be investigated after validation results and training-period temporal analysis.
initial,LSTM,5161,42,163.29918366595584,109.26197527528576,4.105280874995515,13,9.0,"{""lookback"": 36, ""width"": 16, ""learning_rate"": 0.001, ""epochs"": 20, ""patience"": 4}",Initial compact models with six hours of history. A regularized linear autoregression tests whether local linear dependence suffices; LSTM tests gated nonlinear memory; causal dilated CNN tests convolutional sequence modeling. Daily history will be investigated after validation results and training-period temporal analysis.
initial,CausalCNN,5161,42,161.02271551649835,107.93491017745734,4.513533582969103,20,20.0,"{""lookback"": 36, ""width"": 8, ""dilations"": [1, 2, 4, 8, 16], ""learning_rate"": 0.001, ""epochs"": 20, ""patience"": 4}",Initial compact models with six hours of history. A regularized linear autoregression tests whether local linear dependence suffices; LSTM tests gated nonlinear memory; causal dilated CNN tests convolutional sequence modeling. Daily history will be investigated after validation results and training-period temporal analysis.
daily_history,RidgeAR,5161,42,153.13440305737217,106.78512600331089,0.050721207982860506,0,,"{""lookback"": 144, ""alpha"": 1.0}","After the six-hour initial run, validation RMSE was RidgeAR 159.07, LSTM 163.30 and CausalCNN 161.02. Training-only daily-lag correlation is 0.894 and weekly-lag correlation 0.952. Test a full-day history (144 steps) while retaining widths, learning rates and epoch budgets. Extend CNN dilations only as needed to cover the larger history. Identical eligibility masks keep evaluation timestamps fixed."
daily_history,LSTM,5161,42,160.25927674339334,106.5407087876962,16.87902941700304,19,15.0,"{""lookback"": 144, ""width"": 16, ""learning_rate"": 0.001, ""epochs"": 20, ""patience"": 4}","After the six-hour initial run, validation RMSE was RidgeAR 159.07, LSTM 163.30 and CausalCNN 161.02. Training-only daily-lag correlation is 0.894 and weekly-lag correlation 0.952. Test a full-day history (144 steps) while retaining widths, learning rates and epoch budgets. Extend CNN dilations only as needed to cover the larger history. Identical eligibility masks keep evaluation timestamps fixed."
daily_history,CausalCNN,5161,42,160.2808043095038,106.1642565577027,10.19767916703131,16,12.0,"{""lookback"": 144, ""width"": 8, ""dilations"": [1, 2, 4, 8, 16, 32, 64], ""learning_rate"": 0.001, ""epochs"": 20, ""patience"": 4}","After the six-hour initial run, validation RMSE was RidgeAR 159.07, LSTM 163.30 and CausalCNN 161.02. Training-only daily-lag correlation is 0.894 and weekly-lag correlation 0.952. Test a full-day history (144 steps) while retaining widths, learning rates and epoch budgets. Extend CNN dilations only as needed to cover the larger history. Identical eligibility masks keep evaluation timestamps fixed."
capacity,RidgeAR,5161,42,152.39278347095748,106.06624064663019,0.04140858299797401,0,,"{""lookback"": 144, ""alpha"": 10}","Full-day history reduced validation RMSE to 153.13 (RidgeAR), 160.26 (LSTM), and 160.28 (CausalCNN). Test stronger regularization of correlated linear lags (alpha 10) and double neural widths (32 and 16), keeping history, learning rate and stopping budgets fixed, to assess whether limited capacity explains the remaining neural error."
capacity,LSTM,5161,42,162.04230184252413,107.61917458876601,13.023294000013266,9,5.0,"{""lookback"": 144, ""width"": 32, ""learning_rate"": 0.001, ""epochs"": 20, ""patience"": 4}","Full-day history reduced validation RMSE to 153.13 (RidgeAR), 160.26 (LSTM), and 160.28 (CausalCNN). Test stronger regularization of correlated linear lags (alpha 10) and double neural widths (32 and 16), keeping history, learning rate and stopping budgets fixed, to assess whether limited capacity explains the remaining neural error."
capacity,CausalCNN,5161,42,160.086951178327,106.11151574066803,9.126124750007875,11,7.0,"{""lookback"": 144, ""width"": 16, ""dilations"": [1, 2, 4, 8, 16, 32, 64], ""learning_rate"": 0.001, ""epochs"": 20, ""patience"": 4}","Full-day history reduced validation RMSE to 153.13 (RidgeAR), 160.26 (LSTM), and 160.28 (CausalCNN). Test stronger regularization of correlated linear lags (alpha 10) and double neural widths (32 and 16), keeping history, learning rate and stopping budgets fixed, to assess whether limited capacity explains the remaining neural error."
budget,RidgeAR,5161,42,152.39278347095748,106.06624064663019,0.03963683301117271,0,,"{""lookback"": 144, ""alpha"": 10}","Checking the completed runs showed that the 20-epoch cap, not early stopping, was ending most neural fits: 22 of 30 ran the full 20 epochs and 10 of those had their lowest validation loss on the very last epoch. The cap did not bind on area 5161 seed 42, which is why the first three rounds never exposed it. A budget that stops training before the stopping rule fires is an arbitrary constraint rather than a tuned choice, so raise the cap to 80 and let patience=4 decide. Nothing else changes."
budget,LSTM,5161,42,160.25927674339334,106.5407087876962,17.36653508298332,19,15.0,"{""lookback"": 144, ""width"": 16, ""learning_rate"": 0.001, ""epochs"": 80, ""patience"": 4}","Checking the completed runs showed that the 20-epoch cap, not early stopping, was ending most neural fits: 22 of 30 ran the full 20 epochs and 10 of those had their lowest validation loss on the very last epoch. The cap did not bind on area 5161 seed 42, which is why the first three rounds never exposed it. A budget that stops training before the stopping rule fires is an arbitrary constraint rather than a tuned choice, so raise the cap to 80 and let patience=4 decide. Nothing else changes."
budget,CausalCNN,5161,42,160.086951178327,106.11151574066803,9.25149433396291,11,7.0,"{""lookback"": 144, ""width"": 16, ""dilations"": [1, 2, 4, 8, 16, 32, 64], ""learning_rate"": 0.001, ""epochs"": 80, ""patience"": 4}","Checking the completed runs showed that the 20-epoch cap, not early stopping, was ending most neural fits: 22 of 30 ran the full 20 epochs and 10 of those had their lowest validation loss on the very last epoch. The cap did not bind on area 5161 seed 42, which is why the first three rounds never exposed it. A budget that stops training before the stopping rule fires is an arbitrary constraint rather than a tuned choice, so raise the cap to 80 and let patience=4 decide. Nothing else changes."
